Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
PI_548316_2	Sanger / Illumina 1.9	90	105706323	7	36	81.04935378030387	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_548317_1	Sanger / Illumina 1.9	90	86925381	6	34	69.47397040553794	PASS	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
PI_548317_2	Sanger / Illumina 1.9	90	86925381	6	35	71.07026015984995	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548349_1	Sanger / Illumina 1.9	90	76314080	5	34	81.75299023593614	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548349_2	Sanger / Illumina 1.9	90	76314080	5	34	82.88363424741561	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548402_1	Sanger / Illumina 1.9	90	94629592	7	35	80.25219269671642	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548402_2	Sanger / Illumina 1.9	90	94629592	7	35	80.93040211394515	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548402A_1	Sanger / Illumina 1.9	90	98586087	7	35	81.23820867713056	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548402A_2	Sanger / Illumina 1.9	90	98586087	7	35	81.88474080187477	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548415_1	Sanger / Illumina 1.9	90	76119500	5	34	83.56371176363143	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548415_2	Sanger / Illumina 1.9	90	76119500	5	35	84.72969991078284	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548511_1	Sanger / Illumina 1.9	90	76160604	5	34	81.33276205465377	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548511_2	Sanger / Illumina 1.9	90	76160604	5	34	84.32923295743609	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548657_1	Sanger / Illumina 1.9	90	77628595	5	34	81.48967930686631	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548657_2	Sanger / Illumina 1.9	90	77628595	5	35	84.39327977766065	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548667_1	Sanger / Illumina 1.9	90	83328686	6	36	79.70329014966111	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_548667_2	Sanger / Illumina 1.9	90	83328686	6	36	81.36250445541128	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_549031_1	Sanger / Illumina 1.9	90	77679793	5	34	83.25628401604772	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_549031_2	Sanger / Illumina 1.9	90	77679793	5	34	85.96481311168739	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_552538_1	Sanger / Illumina 1.9	90	77816744	5	34	82.6483031141219	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_552538_2	Sanger / Illumina 1.9	90	77816744	5	34	85.17810944131529	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_561271_1	Sanger / Illumina 1.9	90	76312735	5	34	81.9714866967271	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_561271_2	Sanger / Illumina 1.9	90	76312735	5	34	84.88363906212217	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567230_1	Sanger / Illumina 1.9	90	78303955	5	34	80.74820699295792	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567230_2	Sanger / Illumina 1.9	90	78303955	5	35	81.35662117721962	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567305_1	Sanger / Illumina 1.9	90	80361328	6	36	79.90199463125911	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567305_2	Sanger / Illumina 1.9	90	80361328	6	36	80.18048982764853	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567336B_1	Sanger / Illumina 1.9	90	78068043	5	34	81.6782765651931	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567336B_2	Sanger / Illumina 1.9	90	78068043	5	35	82.35394635854566	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567343_1	Sanger / Illumina 1.9	90	78166001	5	34	82.8707334459454	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567343_2	Sanger / Illumina 1.9	90	78166001	5	35	83.76307830648372	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567354_1	Sanger / Illumina 1.9	90	78363285	5	34	83.13897693093489	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567354_2	Sanger / Illumina 1.9	90	78363285	5	35	83.7109614137329	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567357_1	Sanger / Illumina 1.9	90	78068322	5	35	83.03016297033015	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567357_2	Sanger / Illumina 1.9	90	78068322	5	35	83.73215253765785	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567383_1	Sanger / Illumina 1.9	90	78106434	5	34	79.82285306148775	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567383_2	Sanger / Illumina 1.9	90	78106434	5	35	80.38334313026019	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567387_1	Sanger / Illumina 1.9	90	76204258	5	34	82.37292193391839	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567387_2	Sanger / Illumina 1.9	90	76204258	5	35	83.52180427707438	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_567516C_1	Sanger / Illumina 1.9	90	81085105	6	36	80.32185689685767	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
