SRR1737901_2.fastq.gz	2012DM8F016P02_R2_1.fastq.gz
SRR1737902_2.fastq.gz	2012DM8F016P02_R2_2.fastq.gz
SRR1737903_2.fastq.gz	2012DM8F016P02_R2_3.fastq.gz
SRR1737904_2.fastq.gz	2012DM8F016P02_R2_4.fastq.gz
SRR1737905_2.fastq.gz	2012DM8F016P02_R2_5.fastq.gz
SRR1737906_2.fastq.gz	2012DM8F016P02_R2_6.fastq.gz
SRR1737907_2.fastq.gz	2012DM8F016P02_R2_7.fastq.gz
SRR1737908_2.fastq.gz	2012DM8F016P02_R2_8.fastq.gz
SRR1737957_1.fastq.gz	4R30C22acr626MN13_R1_1.fastq.gz
SRR1737958_1.fastq.gz	4R30C22acr626MN13_R1_2.fastq.gz
SRR1737959_1.fastq.gz	4R30C22acr626MN13_R1_3.fastq.gz
SRR1737960_1.fastq.gz	4R30C22acr626MN13_R1_4.fastq.gz
SRR1737961_1.fastq.gz	4R30C22acr626MN13_R1_5.fastq.gz
SRR1737962_1.fastq.gz	4R30C22acr626MN13_R1_6.fastq.gz
SRR1737963_1.fastq.gz	4R30C22acr626MN13_R1_7.fastq.gz
SRR1737964_1.fastq.gz	4R30C22acr626MN13_R1_8.fastq.gz
SRR1737957_2.fastq.gz	4R30C22acr626MN13_R2_1.fastq.gz
SRR1737958_2.fastq.gz	4R30C22acr626MN13_R2_2.fastq.gz
SRR1737959_2.fastq.gz	4R30C22acr626MN13_R2_3.fastq.gz
SRR1737960_2.fastq.gz	4R30C22acr626MN13_R2_4.fastq.gz
SRR1737961_2.fastq.gz	4R30C22acr626MN13_R2_5.fastq.gz
SRR1737962_2.fastq.gz	4R30C22acr626MN13_R2_6.fastq.gz
SRR1737963_2.fastq.gz	4R30C22acr626MN13_R2_7.fastq.gz
SRR1737964_2.fastq.gz	4R30C22acr626MN13_R2_8.fastq.gz
SRR1737941_1.fastq.gz	5R39C03Dr334cMN12_R1_1.fastq.gz
SRR1737942_1.fastq.gz	5R39C03Dr334cMN12_R1_2.fastq.gz
SRR1737943_1.fastq.gz	5R39C03Dr334cMN12_R1_3.fastq.gz
SRR1737944_1.fastq.gz	5R39C03Dr334cMN12_R1_4.fastq.gz
SRR1737945_1.fastq.gz	5R39C03Dr334cMN12_R1_5.fastq.gz
SRR1737946_1.fastq.gz	5R39C03Dr334cMN12_R1_6.fastq.gz
SRR1737947_1.fastq.gz	5R39C03Dr334cMN12_R1_7.fastq.gz
SRR1737948_1.fastq.gz	5R39C03Dr334cMN12_R1_8.fastq.gz
SRR1737941_2.fastq.gz	5R39C03Dr334cMN12_R2_1.fastq.gz
SRR1737942_2.fastq.gz	5R39C03Dr334cMN12_R2_2.fastq.gz
SRR1737943_2.fastq.gz	5R39C03Dr334cMN12_R2_3.fastq.gz
SRR1737944_2.fastq.gz	5R39C03Dr334cMN12_R2_4.fastq.gz
SRR1737945_2.fastq.gz	5R39C03Dr334cMN12_R2_5.fastq.gz
SRR1737946_2.fastq.gz	5R39C03Dr334cMN12_R2_6.fastq.gz
SRR1737947_2.fastq.gz	5R39C03Dr334cMN12_R2_7.fastq.gz
SRR1737948_2.fastq.gz	5R39C03Dr334cMN12_R2_8.fastq.gz
SRR1737965_1.fastq.gz	6R40C84Dar41dMNB12_R1_1.fastq.gz
SRR1737966_1.fastq.gz	6R40C84Dar41dMNB12_R1_2.fastq.gz
SRR1737967_1.fastq.gz	6R40C84Dar41dMNB12_R1_3.fastq.gz
SRR1737968_1.fastq.gz	6R40C84Dar41dMNB12_R1_4.fastq.gz
SRR1737969_1.fastq.gz	6R40C84Dar41dMNB12_R1_5.fastq.gz
SRR1737970_1.fastq.gz	6R40C84Dar41dMNB12_R1_6.fastq.gz
SRR1737971_1.fastq.gz	6R40C84Dar41dMNB12_R1_7.fastq.gz
SRR1737972_1.fastq.gz	6R40C84Dar41dMNB12_R1_8.fastq.gz
SRR1737965_2.fastq.gz	6R40C84Dar41dMNB12_R2_1.fastq.gz
SRR1737966_2.fastq.gz	6R40C84Dar41dMNB12_R2_2.fastq.gz
SRR1737967_2.fastq.gz	6R40C84Dar41dMNB12_R2_3.fastq.gz
SRR1737968_2.fastq.gz	6R40C84Dar41dMNB12_R2_4.fastq.gz
SRR1737969_2.fastq.gz	6R40C84Dar41dMNB12_R2_5.fastq.gz
